state,state_abbr,Zip Code,county,city,Latitude,Longitude
Alabama,AL,35004,St. Clair,Acmar,33.603426,-86.493789
Alabama,AL,35005,Jefferson,Adamsville,33.595950,-87.000649
Alabama,AL,35006,Jefferson,Adger,33.422765,-87.20973
Alabama,AL,35007,Shelby,Keystone,33.215623,-86.797656
Alabama,AL,35010,Tallapoosa,New site,32.916719,-85.940589
Alabama,AL,35014,Talladega,Alpine,33.355851,-86.261678
Alabama,AL,35016,Marshall,Arab,34.323870,-86.502006
Alabama,AL,35019,Cullman,Baileyton,34.302078,-86.634094
Alabama,AL,35020,Jefferson,Bessemer,33.402429,-86.951784
Alabama,AL,35022,Jefferson,Zcta 35022,33.322849,-86.971458
Alabama,AL,35023,Jefferson,Hueytown,33.467828,-87.088219
Alabama,AL,35031,Blount,Blountsville,34.097505,-86.555035
Alabama,AL,35033,Cullman,Bremen,33.926475,-87.031801
Alabama,AL,35034,Bibb,Brent,32.911122,-87.271681
Alabama,AL,35035,Bibb,Brierfield,33.043682,-86.968442
Alabama,AL,35036,Jefferson,Brookside,33.643922,-86.919599
Alabama,AL,35040,Shelby,Calera,33.102967,-86.728894
Alabama,AL,35042,Bibb,Centreville,32.957991,-87.103816
Alabama,AL,35043,Shelby,Chelsea,33.314842,-86.659872
Alabama,AL,35044,Talladega,Coosa pines,33.243975,-86.380759
Alabama,AL,35045,Chilton,Clanton,32.799962,-86.676761
Alabama,AL,35046,Chilton,Zcta 35046,32.931141,-86.534157
Alabama,AL,35049,Blount,Cleveland,33.961807,-86.612064
Alabama,AL,35051,Shelby,Columbiana,33.205032,-86.618915
Alabama,AL,35052,St. Clair,Cook springs,33.590682,-86.409897
Alabama,AL,35053,Cullman,Crane hill,34.054155,-87.073701
Alabama,AL,35054,St. Clair,Cropwell,33.502019,-86.337925
Alabama,AL,35055,Cullman,Cullman,34.151121,-86.758808
Alabama,AL,35057,Cullman,Cullman,34.180462,-86.934257
Alabama,AL,35058,Cullman,Zcta 35058,34.228856,-86.737261
Alabama,AL,35060,Jefferson,Docena,33.557750,-86.951726
Alabama,AL,35061,Jefferson,Dolomite,33.472006,-86.95594
Alabama,AL,35062,Jefferson,Dora,33.724920,-87.010252
Alabama,AL,35063,Walker,Empire,33.818273,-87.020552
Alabama,AL,35064,Jefferson,Fairfield,33.476072,-86.920253
Alabama,AL,35068,Jefferson,Coalburg,33.607519,-86.831073
Alabama,AL,35070,Cullman,Garden city,34.009280,-86.757878
Alabama,AL,35071,Jefferson,Gardendale,33.694975,-86.848078
Alabama,AL,35072,Coosa,Goodwater,33.093498,-86.066947
Alabama,AL,35073,Jefferson,Alden,33.651226,-86.986831
Alabama,AL,35074,Bibb,Green pond,33.222349,-87.12427
Alabama,AL,35077,Cullman,Hanceville,34.021165,-86.832668
Alabama,AL,35078,Shelby,Harpersville,33.324420,-86.444966
Alabama,AL,35079,Blount,Hayden,33.937880,-86.758349
Alabama,AL,35080,Shelby,Helena,33.260081,-86.911474
Alabama,AL,35082,Clay,Hollins,33.158024,-86.153863
Alabama,AL,35083,Cullman,Holly pond,34.199871,-86.59917
Alabama,AL,35085,Chilton,Jemison,32.976498,-86.739181
Alabama,AL,35087,Cullman,Joppa,34.306453,-86.584296
Alabama,AL,35089,Coosa,Kellyton,32.945782,-86.081832
Alabama,AL,35091,Jefferson,Kimberly,33.779236,-86.789554
Alabama,AL,35094,Jefferson,Leeds,33.530066,-86.553303
Alabama,AL,35096,Talladega,Lincoln,33.620336,-86.107668
Alabama,AL,35097,Blount,Locust fork,33.892188,-86.627133
Alabama,AL,35098,Cullman,Logan,34.121100,-87.04688
Alabama,AL,350HH,Chilton,Zcta 350hh,#N/A,#N/A
Alabama,AL,350XX,Coosa,Zcta 350xx,#N/A,#N/A
Alabama,AL,35111,Tuscaloosa,Mc calla,33.284352,-87.094878
Alabama,AL,35112,St. Clair,Margaret,33.691077,-86.470578
Alabama,AL,35114,Shelby,Maylene,33.224414,-86.879318
Alabama,AL,35115,Shelby,Montevallo,33.142473,-86.891528
Alabama,AL,35116,Jefferson,Morris,33.731294,-86.769946
Alabama,AL,35117,Jefferson,Mount olive,33.667778,-86.892599
Alabama,AL,35118,Jefferson,Sylvan springs,33.527419,-87.034686
Alabama,AL,35119,Jefferson,New castle,33.646571,-86.77093
Alabama,AL,35120,St. Clair,Odenville,33.666809,-86.423755
Alabama,AL,35121,Blount,Oneonta,33.941185,-86.455102
Alabama,AL,35124,Shelby,Indian springs,33.321830,-86.742197
Alabama,AL,35125,St. Clair,Pell city,33.633384,-86.288692
Alabama,AL,35126,Jefferson,Dixiana,33.730771,-86.655119
Alabama,AL,35127,Jefferson,Pleasant grove,33.491657,-86.976425
Alabama,AL,35128,St. Clair,Zcta 35128,33.552400,-86.337819
Alabama,AL,35130,Walker,Quinton,33.633156,-87.136688
Alabama,AL,35131,St. Clair,Ragland,33.727425,-86.196829
Alabama,AL,35133,Blount,Remlap,33.829650,-86.596151
Alabama,AL,35135,St. Clair,Riverside,33.616462,-86.199595
Alabama,AL,35136,Coosa,Rockford,32.879247,-86.286795
Alabama,AL,35139,Jefferson,Sayre,33.714126,-86.973966
Alabama,AL,35143,Shelby,Shelby,33.100837,-86.54302
Alabama,AL,35146,St. Clair,Springville,33.795070,-86.453279
Alabama,AL,35147,Shelby,Sterrett,33.415884,-86.530992
Alabama,AL,35148,Walker,Sumiton,33.755959,-87.045787
Alabama,AL,35149,Talladega,Sycamore,33.249870,-86.187275
Alabama,AL,35150,Talladega,Sylacauga,33.189306,-86.238384
Alabama,AL,35151,Talladega,Zcta 35151,33.081343,-86.392211
Alabama,AL,35160,Talladega,Talladega,33.356656,-86.052297
Alabama,AL,35171,Chilton,Thorsby,32.882540,-86.740256
Alabama,AL,35172,Blount,Trafford,33.845155,-86.695313
Alabama,AL,35173,Jefferson,Trussville,33.655407,-86.563109
Alabama,AL,35175,Marshall,Union grove,34.435679,-86.511374
Alabama,AL,35176,Shelby,Vandiver,33.485382,-86.498033
Alabama,AL,35178,Shelby,Vincent,33.419769,-86.398435
Alabama,AL,35179,Cullman,Vinemont,34.273307,-86.96897
Alabama,AL,35180,Jefferson,Warrior,33.820305,-86.840317
Alabama,AL,35183,Coosa,Weogufka,33.016108,-86.35201
Alabama,AL,35184,Bibb,West blocton,33.114345,-87.136714
Alabama,AL,35186,Shelby,Wilsonville,33.256733,-86.510291
Alabama,AL,35188,Bibb,Woodstock,33.180336,-87.163635
Alabama,AL,351HH,Blount,Zcta 351hh,#N/A,#N/A
Alabama,AL,351XX,Coosa,Zcta 351xx,#N/A,#N/A
Alabama,AL,35203,Jefferson,Birmingham,33.518601,-86.809807
Alabama,AL,35204,Jefferson,Birmingham,33.522114,-86.839847
Alabama,AL,35205,Jefferson,Birmingham,33.494995,-86.808077
Alabama,AL,35206,Jefferson,Birmingham,33.569909,-86.712978
Alabama,AL,35207,Jefferson,Birmingham,33.564931,-86.823589
Alabama,AL,35208,Jefferson,Birmingham,33.496819,-86.879298
Alabama,AL,35209,Jefferson,Homewood,33.466348,-86.811516
Alabama,AL,35210,Jefferson,Irondale,33.541558,-86.66946
Alabama,AL,35211,Jefferson,Birmingham,33.455086,-86.856459
Alabama,AL,35212,Jefferson,Birmingham,33.547391,-86.75291
Alabama,AL,35213,Jefferson,Crestline height,33.506671,-86.744458
Alabama,AL,35214,Jefferson,Birmingham,33.576837,-86.893456
Alabama,AL,35215,Jefferson,Center point,33.649002,-86.707425
Alabama,AL,35216,Jefferson,Vestavia hills,33.419246,-86.789433
Alabama,AL,35217,Jefferson,Birmingham,33.607882,-86.760265
Alabama,AL,35218,Jefferson,Birmingham,33.507667,-86.893995
Alabama,AL,35221,Jefferson,Birmingham,33.449487,-86.898962
Alabama,AL,35222,Jefferson,Birmingham,33.523712,-86.770115
Alabama,AL,35223,Jefferson,Mountain brook,33.488141,-86.734834
Alabama,AL,35224,Jefferson,Birmingham,33.517287,-86.943842
Alabama,AL,35226,Jefferson,Bluff park,33.399153,-86.845896
Alabama,AL,35228,Jefferson,Midfield,33.456099,-86.920957
Alabama,AL,35233,Jefferson,Birmingham,33.508748,-86.801964
Alabama,AL,35234,Jefferson,Birmingham,33.540811,-86.802758
Alabama,AL,35235,Jefferson,Center point,33.624485,-86.647907
Alabama,AL,35242,Shelby,Shoal creek,33.425247,-86.672084
Alabama,AL,35243,Jefferson,Cahaba heights,33.440918,-86.741508
Alabama,AL,35244,Jefferson,Hoover,33.352918,-86.825333
